Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
13604252683,"Feb 11, 2025, 11:53:27 PM",nicee g,Run,,1853,5.09,,,false,,,activities/13604252683.gpx,,,1853.0,1633.0,5092.0,12.605,3.118,53.6,53.6,25.3,40.2,26.6,0.0,,,,,,,,,401.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5176.6,1739314816.0,2.0,24.2,26.4,22.5,0.9,1013.8,1.3,3.4,72.0,0.1,1739312512.0,1739354368.0,0.375,,,0.0,1.0,0.44,25890.0,0.0,,,,,0.0,2.748,0.0,,,,,,,,,3.17,,,,,,,,""
13612867266,"Feb 12, 2025, 11:04:18 PM",Morning Run,Run,,2318,6.44,,,false,,,activities/13612867266.gpx,,,2318.0,2208.0,6448.7,12.506,2.921,33.4,33.4,61.7,78.9,21.7,0.0,,,,,,,,,502.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,6480.3,1739401216.0,1.0,23.2,25.5,21.7,0.91,1014.0,1.2,2.6,62.0,0.0,1739398784.0,1739440768.0,0.5,,,0.71,5.0,0.32,24036.0,0.0,,,,,0.0,2.782,3882.5,,,,,,,,,2.935,,,,,,,,""
13647481711,"Feb 16, 2025, 11:22:48 PM",Morning Run,Run,,1926,5.01,,,false,,,activities/13647481711.gpx,,,1926.0,1751.0,5010.4,11.99,2.861,53.7,53.7,25.1,40.2,6.4,-0.1,,,,,,,,,393.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5071.6,1739746816.0,1.0,24.4,27.2,22.9,0.91,1013.6,0.7,1.9,65.0,0.0,1739744384.0,1739786496.0,0.625,,,0.45,5.0,0.24,19909.0,0.0,,,,,0.0,2.601,0.0,,,,,,,,,2.896,,,,,,,,""
13649631754,"Feb 17, 2025, 8:58:14 AM",LSD,Run,,5582,15.02,,,false,,,activities/13649631754.gpx,,,5582.0,4832.0,15028.5,13.705,3.11,163.7,163.7,25.1,52.5,15.0,0.0,,,,,,,,,1182.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,15265.1,1739779200.0,2.0,31.8,33.5,23.6,0.62,1011.0,2.5,5.1,98.0,0.1,1739744384.0,1739786496.0,0.625,,,0.52,5.0,0.47,28465.0,2.0,,,,,0.0,2.692,0.0,,,,,,,,,3.159,,,,,,,,""
13667481789,"Feb 19, 2025, 9:01:52 AM",Recovery Run,Run,"",1855,5.14,,,false,,,activities/13667481789.gpx,,,1855.0,1624.0,5141.8,12.6,3.166,53.8,56.3,25.3,40.2,7.9,0.0,,,,,,,,,403.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5209.2,1739955584.0,3.0,28.7,28.8,21.5,0.65,1012.0,3.2,7.2,69.0,0.0,1739917056.0,1739959296.0,0.625,,,0.0,1.0,0.91,31546.0,0.0,,,,,0.0,2.772,0.0,,,,,,,,,3.208,,,,,,,,""
13676467519,"Feb 20, 2025, 9:05:39 AM",Afternoon Run,Run,,2019,5.00,,,false,,,activities/13676467519.gpx,,,2019.0,1898.0,5005.8,11.967,2.637,54.4,54.4,25.0,40.2,7.2,-0.1,,,,,,,,,393.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5072.5,1740041984.0,3.0,27.3,27.3,21.6,0.71,1013.5,3.6,8.2,80.0,0.4,1740003456.0,1740045696.0,0.625,,,0.82,5.0,0.81,13224.0,0.0,,,,,0.0,2.479,35.8,,,,,,,,,2.673,,,,,,,,""
13691111520,"Feb 21, 2025, 11:41:10 PM",morning sub 1,Run,,3239,10.01,,,false,,,activities/13691111520.gpx,,,3239.0,3002.0,10011.8,16.3,3.335,112.3,112.3,25.3,40.2,17.3,0.1,,,,,,,,,788.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,10183.3,1740178816.0,3.0,24.2,25.3,20.7,0.81,1016.0,1.5,4.1,42.0,0.0,1740176256.0,1740218496.0,0.875,,,0.0,1.0,0.89,23868.0,0.0,,,,,0.0,3.091,0.0,,,,,,,,,3.392,,,,,,,,""
13712113509,"Feb 24, 2025, 9:42:00 AM",Morning Zone 2,Run,"",1827,5.04,,,false,,,activities/13712113509.gpx,,,1827.0,1383.0,5047.3,13.553,3.65,55.4,58.6,22.6,40.2,41.1,-0.1,,,,,,,,,396.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5114.7,1740387584.0,2.0,28.1,28.5,20.4,0.63,1015.8,3.4,7.3,72.0,0.0,1740348928.0,1740391296.0,0.875,,,0.0,1.0,0.57,31965.0,1.0,,,,,0.0,2.763,0.0,,,,,,,,,3.698,,,,,,,,""
13732198628,"Feb 26, 2025, 12:46:56 PM",Evening Run,Run,,1804,5.03,,,false,,,activities/13732198628.gpx,,,1804.0,1765.0,5033.2,9.94,2.852,46.1,46.1,25.0,40.2,5.7,-0.1,,,,,,,,,392.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5070.0,1740571136.0,3.0,25.1,25.7,19.7,0.72,1016.8,2.3,6.3,113.0,0.0,1740521600.0,1740564224.0,0.875,,,0.0,1.0,0.85,27274.0,0.0,,,,,0.0,2.79,252.9,,,,,,,,,2.873,,,,,,,,""
13756733564,"Mar 1, 2025, 8:20:39 AM",Afternoon Run,Run,,5024,4.01,,,false,,,activities/13756733564.gpx,,,5024.0,2023.0,4010.7,12.26,1.983,125.4,125.4,174.7,289.5,39.5,-0.2,,,,,,,,,351.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,4534.0,1740816000.0,3.0,29.6,29.0,21.8,0.63,1010.5,4.1,8.8,83.0,0.0,1740780800.0,1740823424.0,0.125,,,0.0,1.0,0.96,31726.0,2.0,,,,,0.0,0.798,162.6,,,,,,,,,2.241,,,,,,,,""
13773388636,"Mar 2, 2025, 10:55:19 PM",Morning Run,Run,,1568,5.00,,,false,,,activities/13773388636.gpx,,,1568.0,1468.0,5005.8,14.7,3.41,60.8,60.8,21.3,40.2,34.1,0.0,,,,,,,,,398.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5145.5,1740952832.0,1.0,23.8,24.9,21.3,0.86,1011.0,0.9,2.4,41.0,0.0,1740953472.0,1740996224.0,0.125,,,0.0,1.0,0.16,26453.0,0.0,,,,,0.0,3.192,705.0,,,,,,,,,3.505,,,,,,,,""
13810300512,"Mar 6, 2025, 11:52:39 PM",Morning Run,Run,,2722,6.21,,,false,,,activities/13810300512.gpx,,,2722.0,1834.0,6216.8,9.492,3.39,93.9,93.9,25.1,65.0,8.1,0.1,,,,,,,,,493.0,,,,,,,,,,,,,,,,0.0,,1.0,6364.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.284,1177.4,,,,6008.0,,,,,3.47,,,,,,,,""
